id,data,timestamp,vehicle_id,sensor
29,820,"2022-03-23 14:14:33",FG868XN,rpm
33,1288,"2022-03-23 14:17:38",FG868XN,rpm
37,851,"2022-03-23 18:04:59",FG868XN,rpm
41,852,"2022-03-23 18:05:02",FG868XN,rpm
45,849,"2022-03-23 18:05:05",FG868XN,rpm
49,833,"2022-03-23 18:05:08",FG868XN,rpm
53,787,"2022-03-23 18:05:10",FG868XN,rpm
57,929,"2022-03-23 18:05:13",FG868XN,rpm
61,839,"2022-03-23 18:05:16",FG868XN,rpm
65,900,"2022-03-23 18:05:19",FG868XN,rpm
69,812,"2022-03-23 18:05:22",FG868XN,rpm
73,843,"2022-03-23 18:05:25",FG868XN,rpm
77,856,"2022-03-23 18:05:28",FG868XN,rpm
81,1231,"2022-03-23 18:05:31",FG868XN,rpm
85,1152,"2022-03-23 18:05:33",FG868XN,rpm
89,1151,"2022-03-23 18:05:36",FG868XN,rpm
93,1361,"2022-03-23 18:05:39",FG868XN,rpm
97,1257,"2022-03-23 18:05:42",FG868XN,rpm
101,1264,"2022-03-23 18:05:45",FG868XN,rpm
105,1420,"2022-03-23 18:05:48",FG868XN,rpm
109,1508,"2022-03-23 18:05:51",FG868XN,rpm
113,1537,"2022-03-23 18:05:54",FG868XN,rpm
117,1828,"2022-03-23 18:05:56",FG868XN,rpm
121,1866,"2022-03-23 18:05:59",FG868XN,rpm
125,1910,"2022-03-23 18:06:02",FG868XN,rpm
129,1121,"2022-03-23 18:06:05",FG868XN,rpm
133,1038,"2022-03-23 18:06:08",FG868XN,rpm
137,1178,"2022-03-23 18:06:11",FG868XN,rpm
141,1242,"2022-03-23 18:06:14",FG868XN,rpm
145,951,"2022-03-23 18:06:16",FG868XN,rpm
149,1319,"2022-03-23 18:06:19",FG868XN,rpm
153,1185,"2022-03-23 18:06:22",FG868XN,rpm
157,1018,"2022-03-23 18:06:25",FG868XN,rpm
161,1053,"2022-03-23 18:06:28",FG868XN,rpm
165,965,"2022-03-23 18:06:31",FG868XN,rpm
169,1110,"2022-03-23 18:06:34",FG868XN,rpm
173,1177,"2022-03-23 18:06:37",FG868XN,rpm
177,1396,"2022-03-23 18:06:39",FG868XN,rpm
181,1564,"2022-03-23 18:06:42",FG868XN,rpm
185,1540,"2022-03-23 18:06:45",FG868XN,rpm
189,1751,"2022-03-23 18:06:48",FG868XN,rpm
193,1313,"2022-03-23 18:06:51",FG868XN,rpm
197,1172,"2022-03-23 18:06:54",FG868XN,rpm
201,990,"2022-03-23 18:06:57",FG868XN,rpm
205,1129,"2022-03-23 18:07:00",FG868XN,rpm
209,1302,"2022-03-23 18:07:02",FG868XN,rpm
213,995,"2022-03-23 18:07:05",FG868XN,rpm
217,1004,"2022-03-23 18:07:08",FG868XN,rpm
221,1406,"2022-03-23 18:07:11",FG868XN,rpm
225,1470,"2022-03-23 18:07:14",FG868XN,rpm
229,1378,"2022-03-23 18:07:17",FG868XN,rpm
233,1449,"2022-03-23 18:07:20",FG868XN,rpm
237,1588,"2022-03-23 18:07:22",FG868XN,rpm
241,1481,"2022-03-23 18:07:25",FG868XN,rpm
245,1412,"2022-03-23 18:07:28",FG868XN,rpm
249,1369,"2022-03-23 18:07:31",FG868XN,rpm
253,1366,"2022-03-23 18:07:34",FG868XN,rpm
257,1321,"2022-03-23 18:07:37",FG868XN,rpm
261,1615,"2022-03-23 18:07:40",FG868XN,rpm
265,1780,"2022-03-23 18:07:43",FG868XN,rpm
269,1491,"2022-03-23 18:07:45",FG868XN,rpm
273,989,"2022-03-23 18:07:48",FG868XN,rpm
277,929,"2022-03-23 18:07:51",FG868XN,rpm
281,857,"2022-03-23 18:07:54",FG868XN,rpm
285,1764,"2022-03-23 18:07:57",FG868XN,rpm
289,1484,"2022-03-23 18:08:00",FG868XN,rpm
293,1309,"2022-03-23 18:08:03",FG868XN,rpm
297,1448,"2022-03-23 18:08:06",FG868XN,rpm
301,1508,"2022-03-23 18:08:08",FG868XN,rpm
305,1351,"2022-03-23 18:08:11",FG868XN,rpm
309,1594,"2022-03-23 18:08:14",FG868XN,rpm
313,1762,"2022-03-23 18:08:17",FG868XN,rpm
317,1194,"2022-03-23 18:08:20",FG868XN,rpm
321,1236,"2022-03-23 18:08:23",FG868XN,rpm
325,1183,"2022-03-23 18:08:26",FG868XN,rpm
329,1064,"2022-03-23 18:08:29",FG868XN,rpm
333,863,"2022-03-23 18:08:31",FG868XN,rpm
337,879,"2022-03-23 18:08:34",FG868XN,rpm
341,1340,"2022-03-23 18:08:37",FG868XN,rpm
345,1548,"2022-03-23 18:08:40",FG868XN,rpm
349,1669,"2022-03-23 18:08:43",FG868XN,rpm
353,1770,"2022-03-23 18:08:46",FG868XN,rpm
357,1330,"2022-03-23 18:08:49",FG868XN,rpm
361,1142,"2022-03-23 18:08:51",FG868XN,rpm
365,1107,"2022-03-23 18:08:54",FG868XN,rpm
369,1068,"2022-03-23 18:08:57",FG868XN,rpm
373,1063,"2022-03-23 18:09:00",FG868XN,rpm
377,971,"2022-03-23 18:09:03",FG868XN,rpm
381,1019,"2022-03-23 18:09:06",FG868XN,rpm
385,969,"2022-03-23 18:09:09",FG868XN,rpm
389,902,"2022-03-23 18:09:12",FG868XN,rpm
393,952,"2022-03-23 18:09:14",FG868XN,rpm
397,898,"2022-03-23 18:09:17",FG868XN,rpm
401,838,"2022-03-23 18:09:20",FG868XN,rpm
405,0,"2022-03-23 18:09:23",FG868XN,rpm
409,0,"2022-03-23 18:09:26",FG868XN,rpm
413,0,"2022-03-23 18:09:29",FG868XN,rpm
