id,data,timestamp,vehicle_id,sensor
28,0,"2022-03-23 14:14:33",FG868XN,speed
29,820,"2022-03-23 14:14:33",FG868XN,rpm
30,26,"2022-03-23 14:14:34",FG868XN,coolant_temperature
31,14,"2022-03-23 14:14:34",FG868XN,engine_oil_temperature
32,36,"2022-03-23 14:17:38",FG868XN,speed
33,1288,"2022-03-23 14:17:38",FG868XN,rpm
34,59,"2022-03-23 14:17:38",FG868XN,coolant_temperature
35,18,"2022-03-23 14:17:38",FG868XN,engine_oil_temperature
36,0,"2022-03-23 18:04:59",FG868XN,speed
37,851,"2022-03-23 18:04:59",FG868XN,rpm
38,31,"2022-03-23 18:04:59",FG868XN,coolant_temperature
39,25,"2022-03-23 18:05:00",FG868XN,engine_oil_temperature
40,0,"2022-03-23 18:05:02",FG868XN,speed
41,852,"2022-03-23 18:05:02",FG868XN,rpm
42,31,"2022-03-23 18:05:02",FG868XN,coolant_temperature
43,24,"2022-03-23 18:05:02",FG868XN,engine_oil_temperature
44,0,"2022-03-23 18:05:05",FG868XN,speed
45,849,"2022-03-23 18:05:05",FG868XN,rpm
46,31,"2022-03-23 18:05:05",FG868XN,coolant_temperature
47,25,"2022-03-23 18:05:05",FG868XN,engine_oil_temperature
48,0,"2022-03-23 18:05:07",FG868XN,speed
49,833,"2022-03-23 18:05:08",FG868XN,rpm
50,31,"2022-03-23 18:05:08",FG868XN,coolant_temperature
51,25,"2022-03-23 18:05:08",FG868XN,engine_oil_temperature
52,0,"2022-03-23 18:05:10",FG868XN,speed
53,787,"2022-03-23 18:05:10",FG868XN,rpm
54,32,"2022-03-23 18:05:11",FG868XN,coolant_temperature
55,25,"2022-03-23 18:05:11",FG868XN,engine_oil_temperature
56,4,"2022-03-23 18:05:13",FG868XN,speed
57,929,"2022-03-23 18:05:13",FG868XN,rpm
58,32,"2022-03-23 18:05:13",FG868XN,coolant_temperature
59,25,"2022-03-23 18:05:14",FG868XN,engine_oil_temperature
60,0,"2022-03-23 18:05:16",FG868XN,speed
61,839,"2022-03-23 18:05:16",FG868XN,rpm
62,32,"2022-03-23 18:05:16",FG868XN,coolant_temperature
63,25,"2022-03-23 18:05:17",FG868XN,engine_oil_temperature
64,1,"2022-03-23 18:05:19",FG868XN,speed
65,900,"2022-03-23 18:05:19",FG868XN,rpm
66,32,"2022-03-23 18:05:19",FG868XN,coolant_temperature
67,25,"2022-03-23 18:05:20",FG868XN,engine_oil_temperature
68,4,"2022-03-23 18:05:22",FG868XN,speed
69,812,"2022-03-23 18:05:22",FG868XN,rpm
70,33,"2022-03-23 18:05:22",FG868XN,coolant_temperature
71,25,"2022-03-23 18:05:23",FG868XN,engine_oil_temperature
72,7,"2022-03-23 18:05:25",FG868XN,speed
73,843,"2022-03-23 18:05:25",FG868XN,rpm
74,33,"2022-03-23 18:05:25",FG868XN,coolant_temperature
75,25,"2022-03-23 18:05:25",FG868XN,engine_oil_temperature
76,6,"2022-03-23 18:05:28",FG868XN,speed
77,856,"2022-03-23 18:05:28",FG868XN,rpm
78,33,"2022-03-23 18:05:28",FG868XN,coolant_temperature
79,25,"2022-03-23 18:05:28",FG868XN,engine_oil_temperature
80,10,"2022-03-23 18:05:30",FG868XN,speed
81,1231,"2022-03-23 18:05:31",FG868XN,rpm
82,33,"2022-03-23 18:05:31",FG868XN,coolant_temperature
83,25,"2022-03-23 18:05:31",FG868XN,engine_oil_temperature
84,15,"2022-03-23 18:05:33",FG868XN,speed
85,1152,"2022-03-23 18:05:33",FG868XN,rpm
86,34,"2022-03-23 18:05:34",FG868XN,coolant_temperature
87,25,"2022-03-23 18:05:34",FG868XN,engine_oil_temperature
88,19,"2022-03-23 18:05:36",FG868XN,speed
89,1151,"2022-03-23 18:05:36",FG868XN,rpm
90,34,"2022-03-23 18:05:36",FG868XN,coolant_temperature
91,25,"2022-03-23 18:05:37",FG868XN,engine_oil_temperature
92,22,"2022-03-23 18:05:39",FG868XN,speed
93,1361,"2022-03-23 18:05:39",FG868XN,rpm
94,35,"2022-03-23 18:05:39",FG868XN,coolant_temperature
95,25,"2022-03-23 18:05:40",FG868XN,engine_oil_temperature
96,21,"2022-03-23 18:05:42",FG868XN,speed
97,1257,"2022-03-23 18:05:42",FG868XN,rpm
98,35,"2022-03-23 18:05:42",FG868XN,coolant_temperature
99,25,"2022-03-23 18:05:43",FG868XN,engine_oil_temperature
100,21,"2022-03-23 18:05:45",FG868XN,speed
101,1264,"2022-03-23 18:05:45",FG868XN,rpm
102,36,"2022-03-23 18:05:45",FG868XN,coolant_temperature
103,25,"2022-03-23 18:05:46",FG868XN,engine_oil_temperature
104,23,"2022-03-23 18:05:48",FG868XN,speed
105,1420,"2022-03-23 18:05:48",FG868XN,rpm
106,36,"2022-03-23 18:05:48",FG868XN,coolant_temperature
107,25,"2022-03-23 18:05:48",FG868XN,engine_oil_temperature
108,25,"2022-03-23 18:05:51",FG868XN,speed
109,1508,"2022-03-23 18:05:51",FG868XN,rpm
110,37,"2022-03-23 18:05:51",FG868XN,coolant_temperature
111,26,"2022-03-23 18:05:51",FG868XN,engine_oil_temperature
112,26,"2022-03-23 18:05:53",FG868XN,speed
113,1537,"2022-03-23 18:05:54",FG868XN,rpm
114,37,"2022-03-23 18:05:54",FG868XN,coolant_temperature
115,25,"2022-03-23 18:05:54",FG868XN,engine_oil_temperature
116,30,"2022-03-23 18:05:56",FG868XN,speed
117,1828,"2022-03-23 18:05:56",FG868XN,rpm
118,38,"2022-03-23 18:05:57",FG868XN,coolant_temperature
