rpm,timestamp,anomaly
820,2022-03-23 14:14:33,0
1288,2022-03-23 14:17:38,0
851,2022-03-23 18:04:59,0
852,2022-03-23 18:05:02,0
849,2022-03-23 18:05:05,0
833,2022-03-23 18:05:08,0
787,2022-03-23 18:05:10,0
929,2022-03-23 18:05:13,0
839,2022-03-23 18:05:16,0
900,2022-03-23 18:05:19,0
812,2022-03-23 18:05:22,0
843,2022-03-23 18:05:25,0
856,2022-03-23 18:05:28,0
1231,2022-03-23 18:05:31,0
1152,2022-03-23 18:05:33,0
1151,2022-03-23 18:05:36,0
1361,2022-03-23 18:05:39,0
1257,2022-03-23 18:05:42,0
1264,2022-03-23 18:05:45,0
1420,2022-03-23 18:05:48,0
1508,2022-03-23 18:05:51,0
1537,2022-03-23 18:05:54,0
1828,2022-03-23 18:05:56,0
1866,2022-03-23 18:05:59,0
1910,2022-03-23 18:06:02,0
1121,2022-03-23 18:06:05,0
1038,2022-03-23 18:06:08,0
1178,2022-03-23 18:06:11,0
1242,2022-03-23 18:06:14,0
951,2022-03-23 18:06:16,0
1319,2022-03-23 18:06:19,0
1185,2022-03-23 18:06:22,0
1018,2022-03-23 18:06:25,0
1053,2022-03-23 18:06:28,0
965,2022-03-23 18:06:31,0
1110,2022-03-23 18:06:34,0
1177,2022-03-23 18:06:37,0
1396,2022-03-23 18:06:39,0
1564,2022-03-23 18:06:42,0
1540,2022-03-23 18:06:45,0
1751,2022-03-23 18:06:48,0
1313,2022-03-23 18:06:51,0
1172,2022-03-23 18:06:54,0
990,2022-03-23 18:06:57,0
1129,2022-03-23 18:07:00,0
1302,2022-03-23 18:07:02,0
995,2022-03-23 18:07:05,0
1004,2022-03-23 18:07:08,0
1406,2022-03-23 18:07:11,0
1470,2022-03-23 18:07:14,0
1378,2022-03-23 18:07:17,0
1449,2022-03-23 18:07:20,0
1588,2022-03-23 18:07:22,0
1481,2022-03-23 18:07:25,0
1412,2022-03-23 18:07:28,0
1369,2022-03-23 18:07:31,0
1366,2022-03-23 18:07:34,0
1321,2022-03-23 18:07:37,0
1615,2022-03-23 18:07:40,0
1780,2022-03-23 18:07:43,0
1491,2022-03-23 18:07:45,0
989,2022-03-23 18:07:48,0
929,2022-03-23 18:07:51,0
857,2022-03-23 18:07:54,0
1764,2022-03-23 18:07:57,0
1484,2022-03-23 18:08:00,0
1309,2022-03-23 18:08:03,0
1448,2022-03-23 18:08:06,0
1508,2022-03-23 18:08:08,0
1351,2022-03-23 18:08:11,0
1594,2022-03-23 18:08:14,0
1762,2022-03-23 18:08:17,0
1194,2022-03-23 18:08:20,0
1236,2022-03-23 18:08:23,0
1183,2022-03-23 18:08:26,0
1064,2022-03-23 18:08:29,0
863,2022-03-23 18:08:31,0
879,2022-03-23 18:08:34,0
1340,2022-03-23 18:08:37,0
1548,2022-03-23 18:08:40,0
1669,2022-03-23 18:08:43,0
1770,2022-03-23 18:08:46,0
1330,2022-03-23 18:08:49,0
1142,2022-03-23 18:08:51,0
1107,2022-03-23 18:08:54,0
1068,2022-03-23 18:08:57,0
1063,2022-03-23 18:09:00,0
971,2022-03-23 18:09:03,0
1019,2022-03-23 18:09:06,0
969,2022-03-23 18:09:09,0
902,2022-03-23 18:09:12,0
952,2022-03-23 18:09:14,0
898,2022-03-23 18:09:17,0
838,2022-03-23 18:09:20,0
0,2022-03-23 18:09:23,0
0,2022-03-23 18:09:26,0
0,2022-03-23 18:09:29,0
0,2022-03-23 18:09:32,0
0,2022-03-23 18:09:35,0
0,2022-03-23 18:09:37,0
0,2022-03-23 18:09:40,0
0,2022-03-23 18:09:43,0
0,2022-03-23 18:09:46,0
0,2022-03-23 18:09:49,0
0,2022-03-23 18:09:52,0
0,2022-03-23 18:09:55,0
0,2022-03-23 18:09:58,0
0,2022-03-23 18:10:00,0
0,2022-03-23 18:10:03,0
0,2022-03-23 18:10:06,0
0,2022-03-23 18:10:09,0
1062,2022-03-23 18:10:12,0
1923,2022-03-23 18:10:15,0
1558,2022-03-23 18:10:18,0
1595,2022-03-23 18:10:21,0
2179,2022-03-23 18:10:23,0
1525,2022-03-23 18:10:26,0
1352,2022-03-23 18:10:29,0
955,2022-03-23 18:10:32,0
1152,2022-03-23 18:10:35,0
1149,2022-03-23 18:10:38,0
1369,2022-03-23 18:10:41,0
1564,2022-03-23 18:10:44,0
1596,2022-03-23 18:10:46,0
1508,2022-03-23 18:10:49,0
1459,2022-03-23 18:10:52,0
941,2022-03-23 18:10:55,0
922,2022-03-23 18:10:58,0
1165,2022-03-23 18:11:01,0
1027,2022-03-23 18:11:04,0
801,2022-03-23 18:11:07,0
895,2022-03-23 18:11:09,0
874,2022-03-23 18:11:12,0
898,2022-03-23 18:11:15,0
892,2022-03-23 18:11:18,0
944,2022-03-23 18:11:21,0
873,2022-03-23 18:11:24,0
945,2022-03-23 18:11:27,0
913,2022-03-23 18:11:29,0
900,2022-03-23 18:11:32,0
892,2022-03-23 18:11:35,0
776,2022-03-23 18:11:38,0
805,2022-03-23 18:11:41,0
781,2022-03-23 18:11:44,0
779,2022-03-23 18:11:47,0
776,2022-03-23 18:11:50,0
778,2022-03-23 18:11:52,0
779,2022-03-23 18:11:55,0
782,2022-03-23 18:11:58,0
779,2022-03-23 18:12:01,0
780,2022-03-23 18:12:04,0
781,2022-03-23 18:12:07,0
785,2022-03-23 18:12:10,0
782,2022-03-23 18:12:12,0
777,2022-03-23 18:12:15,0
777,2022-03-23 18:12:18,0
769,2022-03-23 18:12:21,0
931,2022-03-23 18:12:24,0
1005,2022-03-23 18:12:27,0
885,2022-03-23 18:12:30,0
893,2022-03-23 18:12:33,0
852,2022-03-23 18:12:35,0
847,2022-03-23 18:12:38,0
777,2022-03-23 18:12:41,0
791,2022-03-23 18:12:44,0
736,2022-03-23 18:12:47,0
829,2022-03-23 18:12:50,0
882,2022-03-23 18:12:53,0
883,2022-03-23 18:12:56,0
1738,2022-03-23 18:12:58,0
855,2022-03-23 18:13:01,0
911,2022-03-23 18:13:04,0
908,2022-03-23 18:13:07,0
