id,speed,timestamp,anomaly
0,0,2022-03-23 14:14:33,0
1,36,2022-03-23 14:17:38,0
2,0,2022-03-23 18:04:59,0
3,0,2022-03-23 18:05:02,0
4,0,2022-03-23 18:05:05,0
5,0,2022-03-23 18:05:07,0
6,0,2022-03-23 18:05:10,0
7,4,2022-03-23 18:05:13,0
8,0,2022-03-23 18:05:16,0
9,1,2022-03-23 18:05:19,0
10,4,2022-03-23 18:05:22,0
11,7,2022-03-23 18:05:25,0
12,6,2022-03-23 18:05:28,0
13,10,2022-03-23 18:05:30,0
14,15,2022-03-23 18:05:33,0
15,19,2022-03-23 18:05:36,0
16,22,2022-03-23 18:05:39,0
17,21,2022-03-23 18:05:42,0
18,21,2022-03-23 18:05:45,0
19,23,2022-03-23 18:05:48,0
20,25,2022-03-23 18:05:51,0
21,26,2022-03-23 18:05:53,0
22,30,2022-03-23 18:05:56,0
23,31,2022-03-23 18:05:59,0
24,32,2022-03-23 18:06:02,0
25,31,2022-03-23 18:06:05,0
26,28,2022-03-23 18:06:08,0
27,33,2022-03-23 18:06:11,0
28,35,2022-03-23 18:06:14,0
29,35,2022-03-23 18:06:16,1
30,22,2022-03-23 18:06:19,0
31,25,2022-03-23 18:06:22,0
32,15,2022-03-23 18:06:25,0
33,20,2022-03-23 18:06:28,0
34,27,2022-03-23 18:06:31,0
35,31,2022-03-23 18:06:34,0
36,32,2022-03-23 18:06:36,0
37,38,2022-03-23 18:06:39,0
38,43,2022-03-23 18:06:42,0
39,43,2022-03-23 18:06:45,0
40,48,2022-03-23 18:06:48,0
41,52,2022-03-23 18:06:51,0
42,46,2022-03-23 18:06:54,0
43,38,2022-03-23 18:06:57,0
44,44,2022-03-23 18:06:59,0
45,51,2022-03-23 18:07:02,0
46,47,2022-03-23 18:07:05,0
47,36,2022-03-23 18:07:08,0
48,33,2022-03-23 18:07:11,0
49,41,2022-03-23 18:07:14,0
50,38,2022-03-23 18:07:17,0
51,40,2022-03-23 18:07:19,0
52,44,2022-03-23 18:07:22,0
53,86,2022-03-23 18:07:25,1
54,39,2022-03-23 18:07:28,0
55,38,2022-03-23 18:07:31,0
56,39,2022-03-23 18:07:34,0
57,37,2022-03-23 18:07:37,0
58,45,2022-03-23 18:07:40,0
59,50,2022-03-23 18:07:42,0
60,41,2022-03-23 18:07:45,0
61,30,2022-03-23 18:07:48,0
62,140,2022-03-23 18:07:51,1
63,3,2022-03-23 18:07:54,0
64,16,2022-03-23 18:07:57,0
65,24,2022-03-23 18:08:00,0
66,31,2022-03-23 18:08:03,0
67,40,2022-03-23 18:08:05,0
68,42,2022-03-23 18:08:08,0
69,37,2022-03-23 18:08:11,0
70,44,2022-03-23 18:08:14,0
71,49,2022-03-23 18:08:17,0
72,48,2022-03-23 18:08:20,0
73,48,2022-03-23 18:08:23,0
74,46,2022-03-23 18:08:26,0
75,41,2022-03-23 18:08:28,0
76,31,2022-03-23 18:08:31,0
77,34,2022-03-23 18:08:34,0
78,37,2022-03-23 18:08:37,0
79,43,2022-03-23 18:08:40,0
80,46,2022-03-23 18:08:43,0
81,49,2022-03-23 18:08:46,0
82,10,2022-03-23 18:08:48,1
83,44,2022-03-23 18:08:51,0
84,43,2022-03-23 18:08:54,0
85,42,2022-03-23 18:08:57,0
86,41,2022-03-23 18:09:00,0
87,38,2022-03-23 18:09:03,0
88,35,2022-03-23 18:09:06,0
89,21,2022-03-23 18:09:09,0
90,19,2022-03-23 18:09:11,0
91,21,2022-03-23 18:09:14,0
92,5,2022-03-23 18:09:17,0
93,0,2022-03-23 18:09:20,0
94,0,2022-03-23 18:09:23,0
95,0,2022-03-23 18:09:26,0
96,0,2022-03-23 18:09:29,0
97,0,2022-03-23 18:09:32,0
98,0,2022-03-23 18:09:34,0
99,0,2022-03-23 18:09:37,0
100,0,2022-03-23 18:09:40,0
101,0,2022-03-23 18:09:43,0
102,0,2022-03-23 18:09:46,0
103,0,2022-03-23 18:09:49,0
104,0,2022-03-23 18:09:52,0
105,0,2022-03-23 18:09:55,0
106,0,2022-03-23 18:09:57,0
107,0,2022-03-23 18:10:00,0
108,0,2022-03-23 18:10:03,0
109,0,2022-03-23 18:10:06,0
110,0,2022-03-23 18:10:09,0
111,3,2022-03-23 18:10:12,0
112,21,2022-03-23 18:10:15,0
113,26,2022-03-23 18:10:18,0
114,26,2022-03-23 18:10:20,0
115,36,2022-03-23 18:10:23,0
116,42,2022-03-23 18:10:26,0
117,15,2022-03-23 18:10:29,1
118,25,2022-03-23 18:10:32,0
119,19,2022-03-23 18:10:35,0
120,30,2022-03-23 18:10:38,0
121,38,2022-03-23 18:10:41,0
122,43,2022-03-23 18:10:43,0
123,44,2022-03-23 18:10:46,0
124,42,2022-03-23 18:10:49,0
125,41,2022-03-23 18:10:52,0
126,26,2022-03-23 18:10:55,0
127,120,2022-03-23 18:10:58,1
128,10,2022-03-23 18:11:01,0
129,16,2022-03-23 18:11:04,0
130,9,2022-03-23 18:11:06,0
131,16,2022-03-23 18:11:09,0
